,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,43.094684,0.0
301,2,0.000000,0.000000,0.000000,0.000000,43.247562,0.0
301,3,0.000000,0.000000,0.000000,0.000000,43.332495,0.0
301,4,0.000000,0.000000,0.000000,0.000000,43.485373,0.0
301,5,0.000000,0.000000,0.000000,0.000000,43.519346,0.0
301,6,0.000000,0.000000,0.000000,0.000000,43.553319,0.0
301,7,0.000000,0.000000,0.000000,0.000000,43.859075,0.0
301,8,0.000000,0.000000,0.000000,0.000000,44.079899,0.0
301,9,0.000000,0.000000,0.000000,0.000000,44.181818,0.0
301,10,0.000000,0.000000,0.000000,0.000000,44.402642,0.0
301,11,0.000000,0.000000,0.000000,0.000000,44.691412,0.0
301,12,0.000000,0.000000,0.000000,0.000000,44.878264,0.0
301,13,0.000000,0.000000,0.000000,0.000000,44.011953,0.0
301,14,0.000000,0.000000,0.000000,0.000000,44.436615,0.0
301,15,0.000000,0.000000,0.000000,0.000000,44.844291,0.0
301,16,0.000000,0.000000,0.000000,0.000000,45.133061,0.0
301,17,0.000000,0.000000,0.000000,0.000000,45.625668,0.0
301,18,0.000000,0.000000,0.000000,0.000000,45.931425,0.0
301,19,0.000000,0.000000,0.000000,0.000000,46.373073,0.0
301,20,0.000000,0.000000,0.000000,0.000000,46.848695,0.0
301,21,0.000000,0.000000,0.000000,0.000000,47.341302,0.0
301,22,0.000000,0.000000,0.000000,0.000000,47.833910,0.0
301,23,0.000000,0.000000,0.000000,0.000000,48.377477,0.0
301,24,0.000000,0.000000,0.000000,0.000000,49.090909,0.0
301,25,0.000000,0.000000,0.000000,0.000000,49.294747,0.0
301,26,0.000000,0.000000,0.000000,0.000000,49.736395,0.0
301,27,0.000000,0.000000,0.000000,0.000000,50.398868,0.0
301,28,0.000000,0.000000,0.000000,0.000000,50.840516,0.0
301,29,0.000000,0.000000,0.000000,0.000000,51.129286,0.0
301,30,0.000000,0.000000,0.000000,0.000000,51.536961,0.0
301,31,0.000000,0.000000,0.000000,0.000000,51.910664,0.0
301,32,0.000000,0.000000,0.000000,0.000000,52.250393,0.0
301,33,0.000000,0.000000,0.000000,0.000000,52.488204,0.0
301,34,0.000000,0.000000,0.000000,0.000000,52.726014,0.0
301,35,12.455902,0.000000,0.000000,0.000000,53.065744,660.981706821088
301,36,12.455902,0.000000,0.000000,0.000000,53.269582,663.520692972964
301,37,12.455902,0.000000,0.000000,0.000000,53.524379,666.694419434858
301,38,12.455902,0.000000,0.000000,0.000000,53.881095,671.1376389726901
301,39,12.455902,0.000000,0.000000,0.000000,54.118905,674.09977702731
301,40,12.455902,0.000000,0.000000,0.000000,54.407675,677.69666784785
301,41,12.455902,0.000000,0.000000,0.000000,54.526581,679.177749331062
301,42,0.000000,0.000000,0.000000,0.000000,54.900283,0.0
301,43,0.000000,0.000000,0.000000,0.000000,55.172067,0.0
301,44,0.000000,0.000000,0.000000,0.000000,55.511796,0.0
301,45,0.000000,0.000000,0.000000,0.000000,55.885499,0.0
301,46,0.000000,0.000000,0.000000,0.000000,56.004404,0.0
301,47,0.000000,0.000000,0.000000,0.000000,56.174269,0.0
301,48,0.000000,0.000000,0.000000,0.000000,56.344133,0.0
302,1,0.000000,0.385254,0.000000,0.000000,38.705411,0.0
302,2,0.000000,0.385608,0.000000,0.000000,38.842718,0.0
302,3,0.000000,0.385656,0.000000,0.000000,38.919000,0.0
302,4,0.000000,0.385870,0.000000,0.000000,39.056307,0.0
302,5,0.000000,0.385841,0.000000,0.000000,39.086820,0.0
302,6,0.000000,0.385881,0.000000,0.000000,39.117333,0.0
302,7,0.000000,0.386414,0.000000,0.000000,39.391947,0.0
302,8,0.000000,0.386877,0.000000,0.000000,39.590280,0.0
302,9,0.000000,0.387075,0.000000,0.000000,39.681818,0.0
302,10,0.000000,0.252842,0.000000,0.000000,39.880151,0.0
302,11,0.000000,0.387956,0.000000,0.000000,40.139509,0.0
302,12,0.000000,0.388218,0.000000,0.000000,40.307329,0.0
302,13,0.000000,0.386656,0.000000,0.000000,39.529254,0.0
302,14,0.000000,0.387411,0.000000,0.000000,39.910664,0.0
302,15,0.000000,0.388275,0.000000,0.000000,40.276817,0.0
302,16,0.000000,0.388861,0.000000,0.000000,40.536175,0.0
302,17,0.000000,0.389823,0.000000,0.000000,40.978610,0.0
302,18,0.000000,0.390377,0.000000,0.000000,41.253224,0.0
302,19,0.000000,0.391177,0.000000,0.000000,41.649890,0.0
302,20,0.000000,0.391933,0.000000,0.000000,42.077068,0.0
302,21,0.000000,0.392839,0.000000,0.000000,42.519503,0.0
302,22,0.000000,0.393689,0.000000,0.000000,42.961938,0.0
302,23,0.000000,0.394576,0.000000,0.000000,43.450142,0.0
302,24,0.000000,0.395819,0.000000,0.000000,44.090909,0.0
302,25,0.000000,0.396307,0.000000,0.000000,44.273986,0.0
302,26,0.000000,0.399670,0.000000,0.000000,44.670651,0.0
302,27,0.000000,0.398489,0.000000,0.000000,45.265650,0.0
302,28,0.000000,0.399085,0.000000,0.000000,45.662315,0.0
302,29,0.000000,0.399629,0.000000,0.000000,45.921673,0.0
302,30,0.000000,0.400396,0.000000,0.000000,46.287826,0.0
302,31,0.000000,0.401058,0.000000,0.000000,46.623466,0.0
302,32,0.000000,0.401709,0.000000,0.000000,46.928594,0.0
302,33,0.000000,0.401999,0.000000,0.000000,47.142183,0.0
302,34,0.000000,0.402486,0.000000,0.000000,47.355772,0.0
302,35,13.030724,0.403122,0.000000,0.000000,47.660900,621.0560334915999
302,36,13.030724,0.403547,0.000000,0.000000,47.843976,623.441646318624
302,37,13.030724,0.403876,0.000000,0.000000,48.072822,626.4236753831279
302,38,13.030724,0.404620,0.000000,0.000000,48.393205,630.59849783042
302,39,13.030724,0.404952,0.000000,0.000000,48.606795,633.3817301695799
302,40,13.030724,0.405601,0.000000,0.000000,48.866153,636.761352684772
302,41,13.030724,0.405817,0.000000,0.000000,48.972947,638.152955823628
302,42,0.000000,0.406458,0.000000,0.000000,49.308588,0.0
302,43,0.000000,0.407709,0.000000,0.000000,49.552690,0.0
302,44,0.000000,0.408748,0.000000,0.000000,49.857817,0.0
302,45,0.000000,0.409133,0.000000,0.000000,50.193457,0.0
302,46,0.000000,0.409653,0.000000,0.000000,50.300252,0.0
302,47,0.000000,0.410124,0.000000,0.000000,50.452815,0.0
302,48,0.000000,0.412112,0.000000,0.000000,50.605379,0.0
303,1,0.000000,-15.518063,0.000000,0.000000,71.824473,0.0
303,2,0.000000,-15.524374,0.000000,0.000000,72.079270,0.0
303,3,0.000000,-15.545344,0.000000,0.000000,72.220824,0.0
303,4,0.000000,-15.568200,0.000000,0.000000,72.475621,0.0
303,5,0.000000,-15.582379,0.000000,0.000000,72.532243,0.0
303,6,0.000000,-15.588285,0.000000,0.000000,72.588864,0.0
303,7,0.000000,-15.621588,0.000000,0.000000,73.098459,0.0
303,8,0.000000,-15.636402,0.000000,0.000000,73.466499,0.0
303,9,0.000000,-15.645021,0.000000,0.000000,73.636364,0.0
303,10,-0.000000,-11.425457,0.000000,0.000000,74.004404,-0.0
303,11,-0.000000,-15.701353,0.000000,0.000000,74.485687,-0.0
303,12,-0.000000,-15.729288,0.000000,0.000000,74.797106,-0.0
303,13,0.000000,-15.641135,0.000000,0.000000,73.353256,0.0
303,14,0.000000,-15.685596,0.000000,0.000000,74.061025,0.0
303,15,0.000000,-15.711800,0.000000,0.000000,74.740484,0.0
303,16,0.000000,-15.733463,0.000000,0.000000,75.221768,0.0
303,17,0.000000,-15.774846,0.000000,0.000000,76.042781,0.0
303,18,0.000000,-15.805667,0.000000,0.000000,76.552375,0.0
303,19,0.000000,-15.850186,0.000000,0.000000,77.288456,0.0
303,20,0.000000,-15.910539,0.000000,0.000000,78.081158,0.0
303,21,0.000000,-15.958540,0.000000,0.000000,78.902170,0.0
303,22,0.000000,-16.013159,0.000000,0.000000,79.723183,0.0
303,23,0.000000,-16.079534,0.000000,0.000000,80.629129,0.0
303,24,0.000000,-16.157240,0.000000,0.000000,81.818182,0.0
303,25,0.000000,-16.163724,0.000000,0.000000,82.157911,0.0
303,26,0.000000,-15.905477,0.000000,0.000000,82.893992,0.0
303,27,0.000000,-16.253512,0.000000,0.000000,83.998113,0.0
303,28,0.000000,-16.322022,0.000000,0.000000,84.734193,0.0
303,29,0.000000,-16.348649,0.000000,0.000000,85.215477,0.0
303,30,0.000000,-16.386434,0.000000,0.000000,85.894936,0.0
303,31,0.000000,-16.425759,0.000000,0.000000,86.517773,0.0
303,32,0.000000,-16.455868,0.000000,0.000000,87.083989,0.0
303,33,0.000000,-16.496385,0.000000,0.000000,87.480340,0.0
303,34,0.000000,-16.513739,0.000000,0.000000,87.876691,0.0
303,35,0.000000,-16.545502,0.000000,0.000000,88.442907,0.0
303,36,0.000000,-16.559431,0.000000,0.000000,88.782636,0.0
303,37,0.000000,-16.600834,0.000000,0.000000,89.207298,0.0
303,38,0.000000,-16.625209,0.000000,0.000000,89.801824,0.0
303,39,0.000000,-16.660763,0.000000,0.000000,90.198176,0.0
303,40,0.000000,-16.674981,0.000000,0.000000,90.679459,0.0
303,41,0.000000,-16.686967,0.000000,0.000000,90.877634,0.0
303,42,0.000000,-16.728821,0.000000,0.000000,91.500472,0.0
303,43,0.000000,-16.666627,0.000000,0.000000,91.953445,0.0
303,44,0.000000,-16.650760,0.000000,0.000000,92.519660,0.0
303,45,0.000000,-16.722932,0.000000,0.000000,93.142498,0.0
303,46,0.000000,-16.698958,0.000000,0.000000,93.340673,0.0
303,47,0.000000,-16.696774,0.000000,0.000000,93.623781,0.0
303,48,0.000000,-16.515373,0.000000,0.000000,93.906889,0.0
304,1,0.000000,-0.830855,0.000000,0.000000,29.527839,0.0
304,2,0.000000,-0.830733,0.000000,0.000000,29.632589,0.0
304,3,0.000000,-0.840334,0.000000,0.000000,29.690783,0.0
304,4,0.000000,-0.849372,0.000000,0.000000,29.795533,0.0
304,5,0.000000,-0.856418,0.000000,0.000000,29.818811,0.0
304,6,0.000000,-0.858885,0.000000,0.000000,29.842089,0.0
304,7,0.000000,-0.870091,0.000000,0.000000,30.051589,0.0
304,8,0.000000,-0.873070,0.000000,0.000000,30.202894,0.0
304,9,0.000000,-0.875432,0.000000,0.000000,30.272727,0.0
304,10,0.000000,-1.395378,0.000000,0.000000,30.424033,0.0
304,11,0.000000,-0.894566,0.000000,0.000000,30.621894,0.0
304,12,0.000000,-0.905613,0.000000,0.000000,30.749921,0.0
304,13,0.000000,-0.877297,0.000000,0.000000,30.156338,0.0
304,14,0.000000,-0.891869,0.000000,0.000000,30.447310,0.0
304,15,0.000000,-0.896735,0.000000,0.000000,30.726644,0.0
304,16,0.000000,-0.901899,0.000000,0.000000,30.924505,0.0
304,17,0.000000,-0.913160,0.000000,0.000000,31.262032,0.0
