,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,45.509649,0.0
301,2,0.000000,0.000000,0.000000,0.000000,43.818412,0.0
301,3,0.000000,0.000000,0.000000,0.000000,42.759253,0.0
301,4,15.731579,0.000000,0.000000,0.000000,42.639671,670.789352870509
301,5,25.908321,0.000000,0.000000,0.000000,43.100917,1116.6723930303572
301,6,25.908321,0.000000,0.000000,0.000000,45.475482,1178.1933852857221
301,7,25.908321,0.000000,0.000000,0.000000,51.437520,1332.65977960392
301,8,25.908321,0.000000,0.000000,0.000000,54.990826,1424.719972063146
301,9,26.401998,0.000000,0.000000,0.000000,58.441632,1542.9758511807358
301,10,26.401998,0.000000,0.000000,0.000000,60.952863,1609.277367020274
301,11,26.429209,0.000000,0.000000,0.000000,63.361594,1674.5968103991459
301,12,26.429209,0.000000,0.000000,0.000000,64.489086,1704.395532112974
301,13,26.429209,0.000000,0.000000,0.000000,64.916166,1715.682918692694
301,14,26.465618,0.000000,0.000000,0.000000,65.172414,1724.828213061852
301,15,26.499179,0.000000,0.000000,0.000000,65.411579,1733.3531405936412
301,16,26.755735,0.000000,0.000000,0.000000,64.318254,1720.8821596866899
301,17,26.429209,0.000000,0.000000,0.000000,63.839924,1687.238693940116
301,18,26.429209,0.000000,0.000000,0.000000,69.101550,1826.2993071739502
301,19,26.429209,0.000000,0.000000,0.000000,68.811136,1818.6238948714242
301,20,26.380972,0.000000,0.000000,0.000000,66.146156,1744.999889343632
301,21,15.731579,0.000000,0.000000,0.000000,63.549510,999.73413697629
301,22,0.000000,0.000000,0.000000,0.000000,59.039544,0.0
301,23,0.000000,0.000000,0.000000,0.000000,53.692502,0.0
301,24,0.000000,0.000000,0.000000,0.000000,48.789624,0.0
302,1,0.000000,-0.069454,0.000000,0.000000,40.874407,0.0
302,2,0.000000,-0.129948,0.000000,0.000000,39.355426,0.0
302,3,0.000000,-0.094756,0.000000,0.000000,38.404144,0.0
302,4,15.731579,0.032717,0.000000,0.000000,38.296742,602.4682222156181
302,5,25.908321,0.221817,0.000000,0.000000,38.711009,1002.9372474058889
302,6,25.908321,0.311256,0.000000,0.000000,40.843720,1058.19220859412
302,7,25.908321,0.349401,0.000000,0.000000,46.198513,1196.925904526673
302,8,25.908321,0.349903,0.000000,0.000000,49.389908,1279.609590624468
302,9,26.401998,0.367924,0.000000,0.000000,52.489244,1385.8209151095118
302,10,26.401998,0.365308,0.000000,0.000000,54.744701,1445.369486312598
302,11,26.429209,0.275273,0.000000,0.000000,56.908099,1504.0360422636911
302,12,26.429209,0.229969,0.000000,0.000000,57.920753,1530.799686474377
302,13,26.429209,0.274291,0.000000,0.000000,58.304334,1540.937428891806
