,hour,dispatch,dual,offer,lmp
320_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
314_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
314_PV_2-1,1,0.000000,0.000000,0.000000,26.429209
313_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
314_PV_3-1,1,0.000000,0.000000,0.000000,26.429209
314_PV_4-1,1,0.000000,0.000000,0.000000,26.429209
313_PV_2-1,1,0.000000,0.000000,0.000000,26.429209
310_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
324_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
312_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
310_PV_2-1,1,0.000000,0.000000,0.000000,26.429209
324_PV_2-1,1,0.000000,0.000000,0.000000,26.429209
324_PV_3-1,1,0.000000,0.000000,0.000000,26.429209
319_PV_1-1,1,0.000000,0.000000,0.000000,26.429209
308_RTPV_1-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_1-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_2-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_3-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_4-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_5-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_6-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_7-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_8-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_9-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_10-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_11-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_12-1,1,0.000000,0.000000,0.000000,26.429209
320_RTPV_1-1,1,0.000000,0.000000,0.000000,26.429209
320_RTPV_2-1,1,0.000000,0.000000,0.000000,26.429209
320_RTPV_3-1,1,0.000000,0.000000,0.000000,26.429209
313_RTPV_13-1,1,0.000000,0.000000,0.000000,26.429209
320_RTPV_4-1,1,0.000000,0.000000,0.000000,26.429209
320_RTPV_5-1,1,0.000000,0.000000,0.000000,26.429209
320_RTPV_6-1,1,0.000000,0.000000,0.000000,26.429209
309_WIND_1-1,1,28.500000,0.000000,0.000000,26.429209
317_WIND_1-1,1,52.600000,0.000000,0.000000,26.429209
303_WIND_1-1,1,195.500000,0.000000,0.000000,26.429209
320_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
314_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
314_PV_2-2,2,0.000000,0.000000,0.000000,26.429209
313_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
314_PV_3-2,2,0.000000,0.000000,0.000000,26.429209
314_PV_4-2,2,0.000000,0.000000,0.000000,26.429209
313_PV_2-2,2,0.000000,0.000000,0.000000,26.429209
310_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
324_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
312_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
310_PV_2-2,2,0.000000,0.000000,0.000000,26.429209
324_PV_2-2,2,0.000000,0.000000,0.000000,26.429209
324_PV_3-2,2,0.000000,0.000000,0.000000,26.429209
319_PV_1-2,2,0.000000,0.000000,0.000000,26.429209
308_RTPV_1-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_1-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_2-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_3-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_4-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_5-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_6-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_7-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_8-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_9-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_10-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_11-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_12-2,2,0.000000,0.000000,0.000000,26.429209
320_RTPV_1-2,2,0.000000,0.000000,0.000000,26.429209
320_RTPV_2-2,2,0.000000,0.000000,0.000000,26.429209
320_RTPV_3-2,2,0.000000,0.000000,0.000000,26.429209
313_RTPV_13-2,2,0.000000,0.000000,0.000000,26.429209
320_RTPV_4-2,2,0.000000,0.000000,0.000000,26.429209
320_RTPV_5-2,2,0.000000,0.000000,0.000000,26.429209
320_RTPV_6-2,2,0.000000,0.000000,0.000000,26.429209
309_WIND_1-2,2,30.600000,0.000000,0.000000,26.429209
317_WIND_1-2,2,63.500000,0.000000,0.000000,26.429209
303_WIND_1-2,2,94.500000,0.000000,0.000000,26.429209
320_PV_1-3,3,0.000000,0.000000,0.000000,26.429209
314_PV_1-3,3,0.000000,0.000000,0.000000,26.429209
314_PV_2-3,3,0.000000,0.000000,0.000000,26.429209
313_PV_1-3,3,0.000000,0.000000,0.000000,26.429209
314_PV_3-3,3,0.000000,0.000000,0.000000,26.429209
314_PV_4-3,3,0.000000,0.000000,0.000000,26.429209
313_PV_2-3,3,0.000000,0.000000,0.000000,26.429209
310_PV_1-3,3,0.000000,0.000000,0.000000,26.429209
324_PV_1-3,3,0.000000,0.000000,0.000000,26.429209
312_PV_1-3,3,0.000000,0.000000,0.000000,26.429209
310_PV_2-3,3,0.000000,0.000000,0.000000,26.429209
324_PV_2-3,3,0.000000,0.000000,0.000000,26.429209
324_PV_3-3,3,0.000000,0.000000,0.000000,26.429209
