,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,26.429209,0.000000,0.000000,0.000000,46.039228,1216.780379010652
301,2,26.429209,0.000000,0.000000,0.000000,44.262575,1169.824845553175
301,3,26.429209,0.000000,0.000000,0.000000,42.827586,1131.8992213594738
301,4,26.429209,0.000000,0.000000,0.000000,41.939260,1108.42146784534
301,5,26.401998,0.000000,0.000000,0.000000,41.785511,1103.220977850978
301,6,26.429209,0.000000,0.000000,0.000000,42.725087,1129.190253866183
301,7,25.908321,0.000000,0.000000,0.000000,44.160076,1144.113424392396
301,8,22.732463,0.000000,0.000000,0.000000,44.997153,1022.8961156778389
301,9,15.731579,0.000000,0.000000,0.000000,48.191711,758.131708741669
301,10,0.000000,0.000000,0.000000,0.000000,51.437520,0.0
301,11,0.000000,0.000000,0.000000,0.000000,53.470421,0.0
301,12,0.000000,0.000000,0.000000,0.000000,54.341664,0.0
301,13,0.000000,0.000000,0.000000,0.000000,54.290414,0.0
301,14,0.000000,0.000000,0.000000,0.000000,53.385005,0.0
301,15,0.000000,0.000000,0.000000,0.000000,52.462512,0.0
301,16,0.000000,0.000000,0.000000,0.000000,51.625435,0.0
301,17,25.908321,0.000000,0.000000,0.000000,52.274597,1354.347039221637
301,18,26.086872,0.000000,0.000000,0.000000,58.475799,1525.450683610728
301,19,22.732463,0.000000,0.000000,0.000000,60.167036,1367.744919689668
301,20,12.455902,0.000000,0.000000,0.000000,58.783296,732.198974212992
301,21,12.455902,0.000000,0.000000,0.000000,57.092059,711.133091882218
301,22,0.000000,0.000000,0.000000,0.000000,54.666245,0.0
301,23,0.000000,0.000000,0.000000,0.000000,51.317937,0.0
301,24,0.000000,0.000000,0.000000,0.000000,48.328377,0.0
302,1,26.429209,0.247805,0.000000,0.000000,41.350047,1092.8490343228232
302,2,26.429209,0.176706,0.000000,0.000000,39.754350,1050.67602480915
302,3,26.429209,0.131197,0.000000,0.000000,38.465517,1016.613188086053
