,hour,SegmentOffer,SegmentDispatch,MaxDual,MinDual,Zone,LMP,MarginalCost,Profit
Alta-1,1,14.00,0,0,14.00,A,10.00,14.00,-0.0
Alta-2,1,14.00,0,0,14.00,A,10.00,14.00,-0.0
Alta-3,1,14.00,0,0,14.00,A,10.00,14.00,-0.0
Alta-4,1,14.00,0,0,14.00,A,10.00,14.00,-0.0
Park City-1,1,15.00,0,0,15.00,A,10.00,15.00,-0.0
Park City-2,1,15.00,0,0,15.00,A,10.00,15.00,-0.0
Park City-3,1,15.00,0,0,15.00,A,10.00,15.00,-0.0
Park City-4,1,15.00,0,0,15.00,A,10.00,15.00,-0.0
Solitude-1,1,30.00,0,0,30.00,A,10.00,30.00,-0.0
Solitude-2,1,30.00,0,0,30.00,A,10.00,30.00,-0.0
Solitude-3,1,30.00,0,0,30.00,A,10.00,30.00,-0.0
Solitude-4,1,30.00,0,0,30.00,A,10.00,30.00,-0.0
Sundance-1,1,40.00,0,0,40.00,A,10.00,40.00,-0.0
Sundance-2,1,40.00,0,0,40.00,A,10.00,40.00,-0.0
Sundance-3,1,40.00,0,0,40.00,A,10.00,40.00,-0.0
Sundance-4,1,40.00,0,0,40.00,A,10.00,40.00,-0.0
Brighton-1,1,10.00,150.00,0,10.00,A,10.00,10.00,0.0
Brighton-2,1,10.00,150.00,0,10.00,A,10.00,10.00,0.0
Brighton-3,1,10.00,150.00,0,10.00,A,10.00,10.00,0.0
Brighton-4,1,10.00,50.00,0,10.00,A,10.00,10.00,0.0
Alta-1,2,14.00,0,0,14.00,A,14.00,14.00,0.0
Alta-2,2,14.00,1.00,0,14.00,A,14.00,14.00,0.0
Alta-3,2,14.00,0,0,14.00,A,14.00,14.00,0.0
Alta-4,2,14.00,0,0,14.00,A,14.00,14.00,0.0
Park City-1,2,15.00,0,0,15.00,A,14.00,15.00,-0.0
Park City-2,2,15.00,0,0,15.00,A,14.00,15.00,-0.0
Park City-3,2,15.00,0,0,15.00,A,14.00,15.00,-0.0
Park City-4,2,15.00,0,0,15.00,A,14.00,15.00,-0.0
Solitude-1,2,30.00,0,0,30.00,A,14.00,30.00,-0.0
Solitude-2,2,30.00,0,0,30.00,A,14.00,30.00,-0.0
Solitude-3,2,30.00,0,0,30.00,A,14.00,30.00,-0.0
Solitude-4,2,30.00,0,0,30.00,A,14.00,30.00,-0.0
Sundance-1,2,40.00,0,0,40.00,A,14.00,40.00,-0.0
Sundance-2,2,40.00,0,0,40.00,A,14.00,40.00,-0.0
Sundance-3,2,40.00,0,0,40.00,A,14.00,40.00,-0.0
Sundance-4,2,40.00,0,0,40.00,A,14.00,40.00,-0.0
Brighton-1,2,10.00,150.00,0,10.00,A,14.00,10.00,600.0
Brighton-2,2,10.00,150.00,0,10.00,A,14.00,10.00,600.0
Brighton-3,2,10.00,150.00,0,10.00,A,14.00,10.00,600.0
Brighton-4,2,10.00,150.00,0,10.00,A,14.00,10.00,600.0
