,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,48.309531,0.0
301,2,0.000000,0.000000,0.000000,0.000000,48.054734,0.0
301,3,0.000000,0.000000,0.000000,0.000000,47.884869,0.0
301,4,0.000000,0.000000,0.000000,0.000000,47.664045,0.0
301,5,0.000000,0.000000,0.000000,0.000000,47.392262,0.0
301,6,0.000000,0.000000,0.000000,0.000000,47.290343,0.0
301,7,0.000000,0.000000,0.000000,0.000000,46.950613,0.0
301,8,0.000000,0.000000,0.000000,0.000000,46.746776,0.0
301,9,0.000000,0.000000,0.000000,0.000000,46.508965,0.0
301,10,0.000000,0.000000,0.000000,0.000000,46.288141,0.0
301,11,0.000000,0.000000,0.000000,0.000000,46.033344,0.0
301,12,0.000000,0.000000,0.000000,0.000000,45.914439,0.0
301,13,0.000000,0.000000,0.000000,0.000000,46.101290,0.0
301,14,0.000000,0.000000,0.000000,0.000000,45.897452,0.0
301,15,0.000000,0.000000,0.000000,0.000000,45.523750,0.0
301,16,0.000000,0.000000,0.000000,0.000000,45.217993,0.0
301,17,0.000000,0.000000,0.000000,0.000000,45.133061,0.0
301,18,0.000000,0.000000,0.000000,0.000000,44.776345,0.0
301,19,0.000000,0.000000,0.000000,0.000000,44.844291,0.0
301,20,0.000000,0.000000,0.000000,0.000000,44.589494,0.0
301,21,0.000000,0.000000,0.000000,0.000000,44.504561,0.0
301,22,0.000000,0.000000,0.000000,0.000000,44.436615,0.0
301,23,0.000000,0.000000,0.000000,0.000000,44.147845,0.0
301,24,0.000000,0.000000,0.000000,0.000000,43.960994,0.0
301,25,0.000000,0.000000,0.000000,0.000000,44.453602,0.0
301,26,0.000000,0.000000,0.000000,0.000000,44.555521,0.0
301,27,0.000000,0.000000,0.000000,0.000000,44.317710,0.0
301,28,0.000000,0.000000,0.000000,0.000000,44.147845,0.0
301,29,0.000000,0.000000,0.000000,0.000000,44.113872,0.0
301,30,0.000000,0.000000,0.000000,0.000000,43.927021,0.0
301,31,0.000000,0.000000,0.000000,0.000000,43.944008,0.0
301,32,0.000000,0.000000,0.000000,0.000000,43.723183,0.0
301,33,0.000000,0.000000,0.000000,0.000000,43.536332,0.0
301,34,0.000000,0.000000,0.000000,0.000000,43.502359,0.0
301,35,0.000000,0.000000,0.000000,0.000000,43.519346,0.0
301,36,0.000000,0.000000,0.000000,0.000000,43.400440,0.0
301,37,0.000000,0.000000,0.000000,0.000000,43.468386,0.0
301,38,0.000000,0.000000,0.000000,0.000000,43.519346,0.0
301,39,0.000000,0.000000,0.000000,0.000000,43.468386,0.0
301,40,0.000000,0.000000,0.000000,0.000000,43.366467,0.0
301,41,0.000000,0.000000,0.000000,0.000000,43.400440,0.0
301,42,0.000000,0.000000,0.000000,0.000000,43.196603,0.0
301,43,0.000000,0.000000,0.000000,0.000000,43.264549,0.0
301,44,0.000000,0.000000,0.000000,0.000000,43.281535,0.0
301,45,0.000000,0.000000,0.000000,0.000000,43.213589,0.0
301,46,0.000000,0.000000,0.000000,0.000000,43.230576,0.0
301,47,0.000000,0.000000,0.000000,0.000000,43.298522,0.0
301,48,0.000000,0.000000,0.000000,0.000000,43.281535,0.0
302,1,0.000000,0.401804,0.000000,0.000000,43.389116,0.0
302,2,0.000000,0.285226,0.000000,0.000000,43.160271,0.0
302,3,0.000000,0.282771,0.000000,0.000000,43.007707,0.0
302,4,0.000000,0.400803,0.000000,0.000000,42.809374,0.0
302,5,0.000000,0.275452,0.000000,0.000000,42.565272,0.0
302,6,0.000000,0.267972,0.000000,0.000000,42.473734,0.0
302,7,0.000000,0.262211,0.000000,0.000000,42.168606,0.0
302,8,0.000000,0.261547,0.000000,0.000000,41.985530,0.0
302,9,0.000000,0.260686,0.000000,0.000000,41.771941,0.0
302,10,0.000000,0.258272,0.000000,0.000000,41.573608,0.0
302,11,0.000000,0.253366,0.000000,0.000000,41.344762,0.0
302,12,0.000000,0.390206,0.000000,0.000000,41.237968,0.0
302,13,0.000000,0.257033,0.000000,0.000000,41.405788,0.0
302,14,0.000000,0.247821,0.000000,0.000000,41.222712,0.0
302,15,0.000000,0.238071,0.000000,0.000000,40.887071,0.0
302,16,0.000000,0.229822,0.000000,0.000000,40.612457,0.0
302,17,0.000000,0.388770,0.000000,0.000000,40.536175,0.0
302,18,0.000000,0.220069,0.000000,0.000000,40.215791,0.0
302,19,0.000000,0.219799,0.000000,0.000000,40.276817,0.0
302,20,0.000000,0.372499,0.000000,0.000000,40.047971,0.0
302,21,0.000000,0.213512,0.000000,0.000000,39.971689,0.0
302,22,0.000000,0.367311,0.000000,0.000000,39.910664,0.0
302,23,0.000000,0.387133,0.000000,0.000000,39.651305,0.0
302,24,0.000000,0.208025,0.000000,0.000000,39.483485,0.0
302,25,0.000000,0.374778,0.000000,0.000000,39.925920,0.0
302,26,0.000000,0.223693,0.000000,0.000000,40.017458,0.0
302,27,0.000000,0.387252,0.000000,0.000000,39.803869,0.0
302,28,0.000000,0.386972,0.000000,0.000000,39.651305,0.0
302,29,0.000000,0.386924,0.000000,0.000000,39.620793,0.0
302,30,0.000000,0.231573,0.000000,0.000000,39.452973,0.0
302,31,0.000000,0.235924,0.000000,0.000000,39.468229,0.0
302,32,0.000000,0.243685,0.000000,0.000000,39.269896,0.0
302,33,0.000000,0.250782,0.000000,0.000000,39.102076,0.0
